,GS coll mean CCC,GS coll CCC std,GS Noncoll mean CCC,GS Noncoll CCC std,a1 coll mean CCC,a1 coll CCC std,a1 Noncoll mean CCC,a1 Noncoll CCC std,a2 coll mean CCC,a2 coll CCC std,a2 Noncoll mean CCC,a2 Noncoll CCC std,a3 coll mean CCC,a3 coll CCC std,a3 Noncoll mean CCC,a3 Noncoll CCC std,a4 coll mean CCC,a4 coll CCC std,a4 Noncoll mean CCC,a4 Noncoll CCC std,a5 coll mean CCC,a5 coll CCC std,a5 Noncoll mean CCC,a5 Noncoll CCC std,coll mean validation CCC,coll CCC validation std,Noncoll mean validation CCC,Noncoll CCC validation std,coll annotator std,noncoll annotator std,coll-noncoll-GS,Ann. as feature effect coll,Ann. as feature effect noncoll
Lingnorm_eGeMAPS_FinnSentiment,0.528,0.015,0.535,0.024,0.383,0.014,0.382,0.023,0.433,0.014,0.433,0.025,0.413,0.015,0.413,0.02,0.51,0.01,0.51,0.017,0.471,0.015,0.475,0.015,0.478,0.032,0.472,0.024,0.05,0.051,-0.007000000000000006,,
ModernBERT_Lexicon_Lingnorm_ExHuBERT_FinnSentiment_Valence,0.613,0.018,0.633,0.021,0.446,0.004,0.454,0.007,0.515,0.008,0.518,0.007,0.523,0.009,0.534,0.016,0.526,0.009,0.541,0.01,0.576,0.006,0.593,0.019,0.514,0.031,0.514,0.022,0.047,0.05,-0.020000000000000018,-0.007000000000000006,-0.0050000000000000044
Lexicon_ExHuBERT_eGeMAPS,0.658,0.021,0.688,0.01,0.462,0.01,0.48,0.015,0.55,0.011,0.564,0.012,0.563,0.013,0.573,0.011,0.595,0.021,0.605,0.009,0.623,0.016,0.633,0.009,0.545,0.015,0.549,0.012,0.061,0.058,-0.029999999999999916,,
ModernBERT_Lingnorm_ExHuBERT_FinnSentiment_Valence,0.631,0.018,0.628,0.021,0.462,0.01,0.465,0.014,0.527,0.014,0.526,0.016,0.537,0.004,0.538,0.016,0.531,0.011,0.541,0.011,0.594,0.008,0.597,0.018,0.515,0.023,0.515,0.023,0.047,0.047,0.0030000000000000027,0.0020000000000000018,0.009000000000000008
ModernBERT_Lexicon_eGeMAPS_FinnSentiment_Valence,0.548,0.019,0.539,0.03,0.405,0.011,0.411,0.028,0.452,0.012,0.453,0.021,0.436,0.02,0.433,0.022,0.493,0.02,0.509,0.007,0.485,0.017,0.494,0.019,0.466,0.033,0.47,0.041,0.036,0.041,0.009000000000000008,0.0050000000000000044,0.0010000000000000009
Lexicon_Lingnorm_FinnSentiment,0.148,0.004,0.156,0.01,0.134,0.002,0.149,0.01,0.122,0.003,0.122,0.003,0.124,0.01,0.141,0.007,0.103,0.006,0.086,0.005,0.172,0.006,0.183,0.008,0.207,0.026,0.215,0.031,0.025,0.036,-0.008000000000000007,,
ExHuBERT_eGeMAPS,0.686,0.019,0.686,0.019,0.478,0.02,0.478,0.02,0.557,0.02,0.557,0.02,0.576,0.016,0.576,0.016,0.61,0.005,0.61,0.005,0.633,0.013,0.633,0.013,0.549,0.016,0.549,0.016,0.06,0.06,0.0,,
ModernBERT_Lexicon_Lingnorm_Valence,0.203,0.018,0.236,0.022,0.201,0.009,0.219,0.018,0.174,0.01,0.186,0.011,0.166,0.014,0.192,0.018,0.121,0.014,0.147,0.016,0.2,0.014,0.233,0.015,0.24,0.038,0.231,0.034,0.033,0.033,-0.032999999999999974,0.036000000000000004,0.03699999999999998
Lingnorm_Valence,0.26,0.016,0.316,0.009,0.263,0.02,0.325,0.021,0.224,0.015,0.266,0.016,0.207,0.005,0.25,0.007,0.175,0.011,0.188,0.011,0.237,0.006,0.26,0.004,0.306,0.023,0.315,0.043,0.033,0.049,-0.055999999999999994,0.12,0.16
ModernBERT_Lingnorm_eGeMAPS_Valence,0.531,0.028,0.54,0.037,0.396,0.013,0.407,0.024,0.438,0.015,0.444,0.02,0.423,0.019,0.432,0.028,0.486,0.011,0.503,0.013,0.473,0.017,0.487,0.02,0.479,0.026,0.471,0.04,0.037,0.039,-0.009000000000000008,-0.01100000000000001,-0.009000000000000008
